category,pct_tasks_affected,workers_affected,wages_affected
Documenting/Recording Information,37.30,5908891.11,385865270506.28
Handling and Moving Objects,18.06,4683901.26,200309690229.32
Getting Information,55.23,3955264.60,267384861160.89
Performing Administrative Activities,58.72,3847931.52,170309178377.14
Making Decisions and Solving Problems,52.80,3598231.51,261845483142.26
Communicating with People Outside the Organization,69.59,3536571.17,180314728492.45
Thinking Creatively,47.98,3495589.63,316762462902.68
Providing Consultation and Advice to Others,63.01,3445820.61,285571622445.00
"Communicating with Supervisors, Peers, or Subordinates",38.16,3429181.05,237436597454.87
"Guiding, Directing, and Motivating Subordinates",20.71,3122815.44,274446437134.87
Assisting and Caring for Others,23.45,2950247.95,130452804062.42
Training and Teaching Others,52.38,2891189.12,177325430532.01
Analyzing Data or Information,58.05,2777344.08,281314795183.01
"Monitoring Processes, Materials, or Surroundings",21.09,2733415.36,194003207472.58
Interpreting the Meaning of Information for Others,70.00,2636242.86,162033738226.97
Performing for or Working Directly with the Public,60.97,2260116.92,117095572019.97
Monitoring and Controlling Resources,29.02,2105746.69,118977513627.87
Performing General Physical Activities,12.22,2041983.24,83487309160.48
Processing Information,47.25,1930140.27,112000080733.18
Working with Computers,69.32,1914502.21,138168663169.84
"Judging the Qualities of Objects, Services, or People",37.37,1584433.12,134174777436.17
"Inspecting Equipment, Structures, or Materials",20.91,1536887.89,102202303330.22
"Estimating the Quantifiable Characteristics of Products, Events, or Information",48.23,1349443.03,69661797014.00
Developing Objectives and Strategies,54.75,1291764.79,133943709186.90
Controlling Machines and Processes,12.74,1109826.16,54781730022.36
Updating and Using Relevant Knowledge,72.04,1039293.44,81492302478.81
Selling or Influencing Others,44.64,964738.73,53767585709.96
Scheduling Work and Activities,44.90,855527.57,40622458677.27
Evaluating Information to Determine Compliance with Standards,37.33,709704.76,43227951461.47
Repairing and Maintaining Mechanical Equipment,13.49,650618.35,42100732510.77
"Organizing, Planning, and Prioritizing Work",56.21,431135.85,30398183377.00
"Identifying Objects, Actions, and Events",25.15,412914.78,28676258644.12
Staffing Organizational Units,36.09,406752.75,32501648258.64
Coaching and Developing Others,51.67,306797.33,20469126501.38
Resolving Conflicts and Negotiating with Others,25.40,250279.38,19012378563.22
Establishing and Maintaining Interpersonal Relationships,59.56,139140.71,12150553554.34
"Operating Vehicles, Mechanized Devices, or Equipment",1.41,20272.44,1486951738.74
